Time,leggings,Sports bra,ropa deportiva mujer,Tank Top,Yoga pants,,
01/09/2021,58,12,18,7,7,,
01/10/2021,60,9,19,3,8,,
01/11/2021,81,10,20,4,7,,
01/12/2021,86,10,18,3,8,,
01/01/2022,74,13,19,3,8,,
01/02/2022,65,10,20,4,7,,
01/03/2022,58,11,23,5,6,,
01/04/2022,56,15,20,4,6,,
01/05/2022,52,12,20,4,6,,
01/06/2022,52,12,22,4,6,,
01/07/2022,54,23,20,4,7,,
01/08/2022,58,14,20,4,5,,
01/09/2022,50,10,18,7,6,,
01/10/2022,62,8,15,8,5,,
01/11/2022,64,8,17,7,6,,
01/12/2022,72,9,16,6,5,,
01/01/2023,70,11,23,10,8,,
01/02/2023,61,9,18,7,5,,
01/03/2023,54,12,20,6,5,,
01/04/2023,51,11,19,7,5,,
01/05/2023,57,9,22,4,7,,
01/06/2023,50,13,22,7,5,,
01/07/2023,64,17,23,4,7,,
01/08/2023,57,25,20,4,7,,
01/09/2023,50,18,19,5,6,,
01/10/2023,60,19,18,3,4,,
01/11/2023,67,14,18,3,6,,
01/12/2023,74,11,17,4,7,,
01/01/2024,72,12,18,5,7,,
01/02/2024,58,13,15,10,5,,
01/03/2024,60,13,16,11,6,,
01/04/2024,52,16,16,4,6,,
01/05/2024,48,16,17,4,8,,
01/06/2024,52,14,16,5,5,,
01/07/2024,63,18,18,5,6,,
01/08/2024,55,17,17,7,8,,
01/09/2024,54,13,16,4,6,,
01/10/2024,60,13,15,5,5,,
01/11/2024,62,13,15,3,9,,
01/12/2024,76,15,16,3,8,,
01/01/2025,85,15,18,4,7,,
01/02/2025,61,13,19,4,7,,
01/03/2025,58,16,18,5,6,,
01/04/2025,62,15,19,8,7,,
01/05/2025,62,16,20,8,7,,
01/06/2025,79,23,18,7,8,,
01/07/2025,61,18,18,4,5,,
01/08/2025,56,18,20,5,6,,
01/09/2025,50,15,18,6,5,,
01/10/2025,58,16,17,5,6,,
01/11/2025,100,19,19,5,6,,
01/12/2025,85,19,20,5,8,,
01/01/2026,79,20,21,5,9,,
01/02/2026,94,25,20,14,11,,
01/03/2026,68,22,23,4,9,,
01/04/2026,74,19,21,6,7,,
01/05/2026,62,18,23,4,6,,
01/06/2026,67,19,21,4,7,,
01/07/2026,74,24,22,5,9,,
01/08/2026,61,17,23,5,7,,
