"Region","leggings","Sports bra","ropa deportiva mujer","Tank Top","Yoga pants"
"Baja California",65,14,8,5,8
"Mexico City",64,12,13,5,6
"Chihuahua",63,13,14,4,6
"Nuevo Leon",62,14,13,5,6
"State of Mexico",62,12,16,5,5
"Tlaxcala",62,11,19,5,3
"Coahuila",61,12,15,5,7
"Tamaulipas",60,14,15,5,6
"Hidalgo",59,14,18,5,4
"Querétaro",59,14,17,5,5
"Sonora",59,14,15,6,6
"Durango",59,11,17,4,9
"Aguascalientes",58,14,18,3,7
"Morelos",58,13,21,4,4
"Baja California Sur",56,16,15,5,8
"San Luis Potosi",56,14,19,5,6
"Puebla",56,14,18,6,6
"Jalisco",56,14,18,4,8
"Michoacán",55,12,22,4,7
"Guanajuato",55,12,21,5,7
"Zacatecas",54,20,17,5,4
"Sinaloa",54,13,24,3,6
"Colima",52,20,23,0,5
"Quintana Roo",52,17,15,8,8
"Nayarit",50,15,20,7,8
"Guerrero",49,14,28,5,4
"Oaxaca",49,13,27,5,6
"Yucatan",48,17,24,6,5
"Veracruz",48,14,27,6,5
"Chiapas",48,12,26,7,7
"Campeche",41,14,32,5,8
"Tabasco",40,17,35,5,3
